Vincent van Gogh,37
Paul Gauguin,55
Claude Monet,86
Edouard Manet,51
Paul Cezanne,67
Auguste Renoir,78
Pablo Picasso,91
Edgar Degas,83
Leonardo da Vinci,67
Rembrandt,63
Sandro Botticelli,65
Peter Paul Rubens,63
Michaelangelo,89
Francisco Goya,82
Gustave Courbet,58
Salvador Dali,85
